address,type,comment
cosmosxxxx,example,"Just an example line"

cosmos156gqf9837u7d4c4678yt3rl4ls9c5vuuxyhkw6,CEX,"Binance Staking validator"
cosmos1a3yjj7d3qnx4spgvjcwjq9cw9snrrrhu3rw8nv,CEX,"Coinbase Custody validator"
cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,CEX,"Kraken validator"
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,CEX,"CoinOneNode validator South-Korean CEX"
cosmos1kn3wugetjuy4zetlq6wadchfhvu3x740cdwhk4,CEX,"Huobi validator"
cosmos12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5dz2hye,CEX,"Huobi-1 validator"
cosmos1crqm3598z6qmyn2kkcl9dz7uqs4qdqnrlyn8pq,CEX,"Coinbase cloud validator"
cosmos1nm0rrq86ucezaf8uj35pq9fpwr5r82cl8sc7p5,CEX,"Kraken validator Now jailed"
cosmos18ruzecmqj9pv8ac0gvkgryuc7u004te9xr2mcr,CEX,"Binance staking validator Now jailed"
cosmos1ewtwxeksk59k0an3etj3n93al64l5qws0x66x3,CEX,"Bitrue validator Now jailed"
cosmos1uv26ytrnmydyctq0s58ve2k6wn2p653m9yn69g,CEX,"Bity.com validator Now jailed"
cosmos157qezau9xnzypse3vu2vhs7r4ee83fdead6693,CEX,"Kucoin validator"
cosmos1yw5s259jkcg0jzmh7sce29uk0lqqw2umy2qttj,CEX,"Cex.io validator"
cosmos1ptz7xq0fanh4kfvp6fdhevkx90axaq7dx6vm7v,CEX or DEX,"Coback.co.kr validator Now jailed"
cosmos1sd4tl9aljmmezzudugs7zlaya7pg2895tyn79r,CEX or DEX,"Infstones.com validator Looks like they work with Binance"
cosmos19yy989ka5usws6gsd8vl94y7l6ssgdwsx8yd7t,Mining Pool,"OKEx validator www.okpool.top"
cosmos1hjadhj9nqzpye2vkmkz4thahhd0z8dh3eer4jx,DEX or Wallet,"www.atomicwallet.io/ validator"
cosmos1keltez56g3zm9w8wr8gcmmulze48g2q3eygmtt,Wallet,"DefiWallet validator from crypto.com"
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,?,"Debo validator closing down. Was mentioned as the juno whale"
cosmos1x065cjlgejk2p2la0029akfvdy52gtq970qj8w,Wallet,"mathwallet.org/en-us/ validator"
cosmos10wljxpl03053h9690apmyeakly3ylhejxgve8g,Wallet,"Ledger validator Staking through Ledger"
cosmos1q9p73lx07tjqc34vs8jrsu5pg3q4ha53sg5eea,,"Validator closing down"
cosmos1tk2xujvwtn0q60u8xelh50u9xzqvrnpksem6vp,,"NASDAQ-BTCS validator 100% commission US Public Company"
cosmos142w8q2l0gxsfna72gq8t7e4ee4ul37e9jlu724,?,"Neoply validator 100% commission"
cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,?,"Kochacolaj validator 100% commission"
cosmos1xym2qygmr9vanpa0m7ndk3n0qxgey3ff8vscct,?,"www.grant.fish validator 100% commission"
cosmos1cgh5ksjwy2sd407lyre4l3uj2fdrqhpk84m04f,?,"Hashquark validator Website states regulatory policy requirements, we hereby reiterate that HashQuark does not provide service or accept user from countries or jurisdictions, including but not limited to, the Mainland China, the United States of America including Puerto Rico, American Samoa (not Samoa), Guam, the Northern Mariana Islands, and the Virgin Islands of the United States (St. Croix, St. John Island, and St. Thomas). https://www.hashquark.io/"
cosmos1gdg6qqe5a3u483unqlqsnullja23g0xv9zj76u,,"zugerselfdelegation validator 100% commission"
